,year,slaughter_broilers_avglivewt_kg,slaughter_broilers_carcwt_thsdtonnes,country,chicksplaced_broilers_thsdhd,slaughter_broilers_thsdhd,mortality_calc_broilers_thsdhd,mortality_calc_broilers_pctplaced
25,2018.0,2.233809168072293,1673.9086487731454,uk,1089811.914,1083094.2027199727,6717.711280027404,0.006164101524061155
15,2008.0,2.21115608312743,1213.625116660643,uk,827781.4589999998,791602.0659862498,36179.39301374997,0.043706454910764046
19,2012.0,2.1896815873460262,1321.8360957126206,uk,925864.5809999998,873788.5835533104,52075.997446689405,0.05624580366865704
3,1996.0,2.1606069621582167,1094.3367507569644,uk,774693.3393043479,728712.2976784275,45981.041625920334,0.059353862093625295
12,2005.0,2.2370593337089466,1282.4727618223053,uk,857024.3129999998,827190.3281368,29833.984863199876,0.03481113010524344
0,1993.0,,,uk,677937.5214285714,,,
23,2016.0,2.2146895407541645,1525.8192655838952,uk,1012600.549,992639.1434682623,19961.40553173772,0.0197130107735481
8,2001.0,2.21786285570099,1211.4272898812121,uk,829585.831,782222.815289325,47363.01571067504,0.05709236337074691
20,2013.0,2.2361748667968255,1388.3433188975093,uk,943304.1819999999,902247.7105623626,41056.471437637345,0.04352410624385141
7,2000.0,2.208902024987902,1162.6091178603162,uk,809174.931,760344.3111267,48830.61987329996,0.06034618474024372
6,1999.0,2.207026111497227,1185.177903794984,uk,803204.77295671,776449.4480584664,26755.324898243533,0.0333107145264506
22,2015.0,2.2191606485615933,1456.433179119375,uk,972497.7934166666,953111.2358507144,19386.557565952186,0.01993480879564939
21,2014.0,2.230630413634647,1383.244440625076,uk,937442.712,900382.0391879259,37060.67281207419,0.0395338001327106
10,2003.0,2.237444233199116,1245.306333961524,uk,853452.393,803616.6102453751,49835.78275462496,0.058393160723875265
13,2006.0,2.190822679253906,1237.0207649701456,uk,850673.6059999999,813119.9930100001,37553.61298999982,0.04414573665519349
11,2004.0,2.2360080044238324,1245.6867794853554,uk,866092.009,805806.1932341,60285.815765899955,0.06960671053356868
18,2011.0,2.1821203750618383,1297.274538099816,uk,896432.6170000001,854864.1408525,41568.4761475001,0.04637099917962947
16,2009.0,2.2005926352430607,1220.411564678146,uk,844032.994,799020.8570287499,45012.13697125006,0.053329831050716085
24,2017.0,2.228382049619205,1596.0301750276308,uk,1047660.021,1036679.6150247528,10980.405975247151,0.010480886695252784
14,2007.0,2.1647451249312515,1211.7716754148644,uk,842178.642888889,805024.825345529,37153.81754335994,0.0441163141063668
17,2010.0,2.2086845304856486,1323.0098102296795,uk,903565.9489999999,862550.7406049999,41015.208394999965,0.04539260077296247
26,2019.0,2.2352740125296946,1641.62874116657,uk,1075901.4749999999,1049760.9842772526,26140.490722747287,0.024296361079667903
28,2021.0,2.2799675987011163,1768.0566451521563,uk,1184576.3869999999,1116007.908,68568.47899999982,0.057884387830533235
27,2020.0,2.2313659755669226,1710.8360101744843,uk,1168247.448,1096698.8843464714,71548.56365352869,0.06124435690060132
9,2002.0,2.2387134614447,1222.0928364206732,uk,824397.2410000002,781724.208232475,42673.032767525176,0.051762706915130456
4,1997.0,2.160592792206396,1136.7510389020356,uk,801785.7960592886,756232.5582469717,45553.23781231686,0.05681472288010998
1,1994.0,,1017.3690801607253,uk,728210.1540000001,674522.4890367406,53687.66496325948,0.07372550996214133
5,1998.0,2.194419739342974,1155.0055426222068,uk,823529.1835887446,763545.7881795908,59983.395409153774,0.07283700032069342
2,1995.0,,1046.401640947933,uk,739819.72646,692683.7819273919,47135.94453260815,0.06371274358707797
