dayonfeed,bodyweight_g,dailygain_g,dailyfeedintake_g,cmlfeedintake_g,fcr,pct_yield
0.0,43.0,,,,,70.845
1.0,60.0,17.0,,14.0,0.229,70.845
2.0,77.0,17.0,17.0,31.0,0.402,70.845
3.0,96.0,19.0,20.0,51.0,0.534,70.845
4.0,118.0,22.0,23.0,75.0,0.635,70.845
5.0,142.0,24.0,27.0,101.0,0.714,70.845
6.0,169.0,27.0,30.0,131.0,0.778,70.845
7.0,198.0,30.0,33.0,164.0,0.829,70.845
8.0,231.0,33.0,37.0,201.0,0.871,70.845
9.0,267.0,36.0,41.0,242.0,0.907,70.845
10.0,305.0,39.0,45.0,286.0,0.939,70.845
11.0,347.0,42.0,49.0,335.0,0.967,70.845
12.0,391.0,45.0,53.0,388.0,0.992,70.845
13.0,439.0,48.0,58.0,446.0,1.016,70.845
14.0,490.0,51.0,63.0,509.0,1.038,70.845
15.0,544.0,54.0,68.0,576.0,1.059,70.845
16.0,601.0,57.0,73.0,649.0,1.08,70.845
17.0,661.0,60.0,78.0,727.0,1.1,70.845
18.0,724.0,63.0,83.0,810.0,1.12,70.845
19.0,789.0,66.0,89.0,899.0,1.139,70.845
20.0,857.0,68.0,94.0,994.0,1.159,70.845
21.0,928.0,71.0,100.0,1094.0,1.178,70.845
22.0,1002.0,73.0,106.0,1200.0,1.198,70.845
23.0,1077.0,76.0,112.0,1311.0,1.217,70.845
24.0,1155.0,78.0,117.0,1428.0,1.237,70.845
25.0,1235.0,80.0,123.0,1551.0,1.256,71.01825
26.0,1317.0,82.0,129.0,1680.0,1.275,71.42415
27.0,1401.0,84.0,134.0,1814.0,1.295,71.84
28.0,1486.0,85.0,140.0,1954.0,1.315,72.26500000000001
29.0,1574.0,87.0,145.0,2100.0,1.334,72.70500000000001
30.0,1662.0,88.0,151.0,2250.0,1.354,72.95745000000001
31.0,1752.0,90.0,156.0,2406.0,1.374,73.13520000000001
32.0,1842.0,91.0,161.0,2567.0,1.393,73.31190000000001
33.0,1934.0,92.0,166.0,2734.0,1.413,73.49130000000001
34.0,2027.0,93.0,171.0,2905.0,1.433,73.669275
35.0,2120.0,93.0,176.0,3081.0,1.453,73.839
36.0,2214.0,94.0,180.0,3261.0,1.473,74.0102
37.0,2308.0,94.0,185.0,3446.0,1.493,74.1794
38.0,2403.0,95.0,189.0,3635.0,1.513,74.348525
39.0,2498.0,95.0,193.0,3828.0,1.532,74.46015
40.0,2593.0,95.0,197.0,4025.0,1.552,74.571775
41.0,2688.0,95.0,201.0,4225.0,1.572,74.68339999999999
42.0,2782.0,95.0,204.0,4429.0,1.592,74.79384999999999
43.0,2877.0,95.0,207.0,4637.0,1.612,74.920875
44.0,2971.0,94.0,210.0,4847.0,1.631,75.05012500000001
45.0,3065.0,94.0,213.0,5061.0,1.651,75.176125
46.0,3158.0,93.0,216.0,5277.0,1.671,75.29934999999999
47.0,3251.0,93.0,219.0,5495.0,1.69,75.420025
48.0,3343.0,92.0,221.0,5716.0,1.71,75.537325
49.0,3434.0,91.0,223.0,5939.0,1.73,75.65165
50.0,3524.0,90.0,225.0,6164.0,1.749,75.7619
51.0,3614.0,90.0,227.0,6391.0,1.769,75.87109999999998
52.0,3702.0,89.0,228.0,6620.0,1.788,75.97229999999999
53.0,3790.0,88.0,230.0,6850.0,1.807,76.0735
54.0,3877.0,87.0,231.0,7081.0,1.827,76.16969999999999
55.0,3962.0,86.0,232.0,7313.0,1.846,76.2632
56.0,4047.0,84.0,233.0,7546.0,1.865,76.35552500000001
57.0,4130.0,83.0,234.0,7781.0,1.884,76.44475000000001
58.0,4212.0,82.0,235.0,8015.0,1.903,76.5323
59.0,4293.0,81.0,235.0,8250.0,1.922,76.615325
60.0,4373.0,80.0,236.0,8486.0,1.941,76.69732499999999
61.0,4451.0,78.0,236.0,8722.0,1.959,76.77472499999999
62.0,4528.0,77.0,236.0,8958.0,1.978,76.8498
63.0,4604.0,76.0,236.0,9193.0,1.997,76.9237
64.0,4679.0,75.0,236.0,9429.0,2.015,76.99307499999999
65.0,4752.0,73.0,235.0,9664.0,2.034,77.0606
66.0,4824.0,72.0,235.0,9899.0,2.052,77.12599999999999
67.0,4895.0,71.0,234.0,10134.0,2.07,77.188125
68.0,4964.0,69.0,234.0,10368.0,2.088,77.24849999999999
69.0,5032.0,68.0,233.0,10601.0,2.106,77.28
70.0,5099.0,67.0,232.0,10833.0,2.124,77.28
